1,64,-6.3,163,163,0.99
2,64,-6.3,32,195,0.99
3,64,-6.3,112,307,0.99
4,64,-6.3,41,348,0.99
5,64,-6.3,56,404,0.99
6,64,-6.3,54,458,0.99
7,64,-6.3,77,535,0.99
8,64,-6.3,148,683,0.99
9,64,-6.3,93,776,0.99
10,64,-6.3,76,852,0.99
11,64,-6.3,64,916,0.99
12,64,-6.3,80,996,0.99
13,64,-6.3,156,1152,0.99
14,64,-6.3,163,1315,0.99
15,64,-6.3,135,1450,0.99
16,64,-6.3,111,1561,0.99
17,64,-6.3,105,1666,0.99
18,64,-6.3,79,1745,0.99
19,64,-6.3,70,1815,0.99
20,64,-6.3,98,1913,0.99
21,36,-3.5,94,2007,0.99
22,19,-3.7,79,2086,0.99
23,20,-2.8,69,2155,0.99
24,16,-1.5,67,2222,0.99
25,18,-2.6,70,2292,0.99
26,26,-2.5,75,2367,0.99
27,20,-1.9,76,2443,0.99
28,18,-2.6,79,2522,0.99
29,17,-1.6,85,2607,0.99
30,29,-2,138,2745,0.99
31,18,-1.7,142,2887,0.99
32,21,-2,145,3032,0.99
33,18,-1.7,108,3140,0.99
34,18,-1.7,94,3234,0.99
35,16,-1.5,100,3334,0.99
36,18,-1.7,99,3433,0.99
37,21,-2.9,107,3540,0.99
38,19,-1.8,105,3645,0.99
39,23,-1.9,108,3753,0.99
40,21,-2,114,3867,0.99
41,17,-1.6,116,3983,0.99
42,20,-1.9,123,4106,0.99
43,18,-2.6,145,4251,0.99
44,16,-1.5,200,4451,0.99
45,20,-1.9,143,4594,0.99
46,22,-3,129,4723,0.99
47,21,-2,132,4855,0.99
48,17,-1.6,135,4990,0.99
49,20,-2.8,143,5133,0.99
50,19,-1.8,142,5275,0.99
