1,64,-6.3,864,864,0.99
2,64,-6.3,1332,2196,0.99
3,64,-6.3,996,3192,0.99
4,22,-2.1,912,4104,0.99
5,19,-1.8,901,5005,0.99
6,25,-2.4,1078,6083,0.99
7,18,-1.7,968,7051,0.99
8,24,-2.3,962,8013,0.99
9,18,-1.7,988,9001,0.99
10,23,-2.2,922,9923,0.99
11,15,-1.4,937,10860,0.99
12,17,-1.6,1099,11959,0.99
13,18,-1.7,929,12888,0.99
14,22,-3,946,13834,0.99
15,16,-2.4,960,14794,0.99
16,17,-1.6,953,15747,0.99
17,19,-2.7,970,16717,0.99
18,26,-2,946,17663,0.99
19,21,-2,947,18610,0.99
20,25,-2.4,963,19573,0.99
21,23,-2.2,947,20520,0.99
22,25,-2.4,964,21484,0.99
23,19,-1.8,946,22430,0.99
24,18,-3.6,942,23372,0.99
25,22,-2.1,948,24320,0.99
26,17,-2.5,946,25266,0.99
27,17,-3.4,953,26219,0.99
28,18,-1.7,954,27173,0.99
29,19,-1.8,948,28121,0.99
30,16,-1.5,960,29081,0.99
31,24,-3.2,945,30026,0.99
32,30,-2.9,934,30960,0.99
33,26,-2.5,939,31899,0.99
34,25,-3.3,939,32838,0.99
35,23,-2.2,950,33788,0.99
36,22,-3,944,34732,0.99
37,28,-3.3,953,35685,0.99
38,27,-3.5,946,36631,0.99
39,21,-2,947,37578,0.99
40,21,-2,940,38518,0.99
41,19,-1.8,941,39459,0.99
42,25,-2.2,948,40407,0.99
43,15,-1.4,940,41347,0.99
44,15,-1.4,944,42291,0.99
45,21,-2,944,43235,0.99
46,21,-2,948,44183,0.99
47,21,-2.9,960,45143,0.99
48,21,-2,957,46100,0.99
49,19,-3.7,947,47047,0.99
50,20,-2.8,954,48001,0.99
